n,t
2,12.706
3,4.302
4,3.182
5,2.776
6,2.571
7,2.447
8,2.365
9,2.306
10,2.262
11,2.228
12,2.201
13,2.179
14,2.16
15,2.145
16,2.131
17,2.12
18,2.11
19,2.101
20,2.093
21,2.086
22,2.0796
23,2.074
24,2.068
25,2.064
26,2.059
27,2.055
28,2.051
29,2.048
30,2.045
31,2.0423
32,2.0395
33,2.037
34,2.035
35,2.032
36,2.030
37,2.028
38,2.026
39,2.024
40,2.023
41,2.021
42,2.0195
43,2.0181
44,2.0167
45,2.015
46,2.0141
47,2.0129
48,2.0117
49,2.0106
50,2.01
51,2.0086
52,2.0076
53,2.0066
54,2.0057
55,2.0049
56,2.0040
57,2.0032
58,2.0025
59,2.0017
60,2.001
70,1.995
80,1.99
90,1.986
100,1.984
150,1.976
500,1.96
z,1.96
